2019-06-08 12:14:22.551246 31.0355219085 22.5700685933 911.956710345
2019-06-08 12:24:22.672006 31.1834087559 22.7370414006 912.013247447
2019-06-08 12:34:22.711877 31.3108976139 22.9209300757 911.818138723
2019-06-08 12:44:22.832825 31.4281875239 23.1644143575 911.856187567
2019-06-08 12:54:22.953853 31.5658758755 23.4772780808 911.869572386
2019-06-08 13:04:23.074948 31.6831661202 23.4465614714 911.741727381
2019-06-08 13:14:23.195942 31.8106556912 23.2109372821 911.739650873
2019-06-08 13:24:23.317226 31.9279462572 23.2393567183 911.639269986
2019-06-08 13:34:23.426735 32.0605357781 22.7394068322 911.589405811
2019-06-08 13:44:23.547908 32.1727270648 23.4090251561 911.591819301
2019-06-08 13:54:23.669065 32.279818879 24.1274875981 911.44823596
2019-06-08 14:04:23.790031 32.3104165637 31.1449148653 911.27284107
2019-06-08 14:14:23.911181 32.0758345816 35.7241284456 911.44645441
2019-06-08 14:18:36.672370 31.9279462572 37.6718915915 911.307533619
2019-06-08 14:23:16.465381 31.8718507499 36.840858596 911.251022328
2019-06-08 14:29:10.017257 31.8361536273 37.3771419281 911.252751286
2019-06-08 14:39:10.138229 31.8208548648 35.6933544236 911.091600442
2019-06-08 14:49:10.260017 31.8616515706 33.3642422069 911.152796817
2019-06-08 14:59:10.381797 31.8616515706 35.4302683533 911.180438391
2019-06-08 15:09:10.503601 31.9738426076 33.083827027 910.989338339
2019-06-08 15:19:10.625364 32.0554361775 33.9743114446 910.918152704
2019-06-08 15:26:22.893228 32.1676274578 32.9419445934 910.920450022
2019-06-08 15:36:22.956695 32.3053169489 31.3277962398 910.822621829
2019-06-08 15:46:23.079019 32.4379070297 32.0409486094 910.855369789
2019-06-08 15:56:23.158410 32.4481062748 30.8200271379 910.593989069
2019-06-08 16:06:23.206744 32.4328074076 28.2859950778 910.598732558
2019-06-08 16:16:23.329097 32.4430066521 28.140432272 910.475683002
2019-06-08 16:26:23.451295 32.131930217 28.5400554342 910.535096597
2019-06-08 16:36:23.566830 31.825954452 27.6918622535 910.491175893
2019-06-08 16:46:23.689091 31.5913737417 26.9126661528 910.498737753
2019-06-08 16:56:23.806593 31.3516940869 25.8655508289 910.387964069
2019-06-08 17:06:23.902414 31.1069155284 25.8990288755 910.379843351
2019-06-08 17:16:23.956700 30.9335311219 25.2647768114 910.368208814
2019-06-08 17:26:24.078850 30.7346494229 24.6853240812 910.345805467
2019-06-08 17:36:24.200880 30.5000715776 24.461525067 910.324866238
2019-06-08 17:46:24.323117 30.3011908433 24.3977522316 910.357315002
2019-06-08 17:56:24.398511 30.1431064729 24.102236719 910.368144003
2019-06-08 18:06:24.520571 29.9544254936 23.5076665357 910.33293483
2019-06-08 18:16:24.642710 29.7300486316 23.3701478971 910.381753468
2019-06-08 18:26:24.732337 29.5872636491 23.3747348562 910.497834552
2019-06-08 18:36:24.854538 29.3883849465 22.9634595669 910.529503296
2019-06-08 18:46:24.956878 29.199705561 22.6270883149 910.631382886
2019-06-08 18:56:25.079058 28.980430019 22.5113935559 910.604522887
2019-06-08 19:06:25.166717 29.0824185763 22.149343865 910.75783895
2019-06-08 19:16:25.206724 29.28639604 22.0726486476 910.761678497
2019-06-08 19:26:25.326735 29.3730866031 21.8982236801 910.836915401
2019-06-08 19:36:25.396989 29.4801750619 21.4979553447 910.915265899
2019-06-08 19:46:25.517491 29.5974625688 21.3168307842 910.981385908
2019-06-08 19:56:25.639702 29.6688550397 21.1319418181 911.171328065
2019-06-08 20:06:25.706754 29.724949164 20.877851599 911.200551089
2019-06-08 20:16:25.810778 29.7963417367 20.8054409879 911.390523122
2019-06-08 20:26:25.928103 29.8218390979 20.7991118164 911.566621419
2019-06-08 20:36:25.970778 29.8830327946 20.7806998477 911.713746331
2019-06-08 20:46:26.045750 29.9136296586 20.8331825307 911.814871915
2019-06-08 20:56:26.168100 29.9595249743 20.8904587741 911.801215015
2019-06-08 21:06:26.265668 29.9748234181 20.873786398 912.017142662
2019-06-08 21:16:26.384049 30.0054203136 20.8833612337 912.173411396
2019-06-08 21:26:26.456751 29.6178604118 20.8497211495 912.196458529
2019-06-08 21:36:26.579023 29.2914954826 20.8995120042 912.200918009
2019-06-08 21:46:26.701165 28.980430019 20.7291526862 912.420632554
2019-06-08 21:56:26.818983 28.6183715809 20.7856108649 912.535424783
2019-06-08 22:06:26.876924 28.4500913979 20.5726931982 912.584307519
2019-06-08 22:16:26.956692 28.4500913979 20.6368614228 912.639296887
2019-06-08 22:26:27.076722 28.0880351088 20.6291740952 912.670712858
2019-06-08 22:36:27.199220 28.0778363613 20.4746119665 912.655335251
2019-06-08 22:46:27.321712 27.8330667716 20.5480133649 912.615919993
2019-06-08 22:56:27.444052 27.5984965439 20.487504214 912.701525276
2019-06-08 23:06:27.566562 27.5984965439 20.4928416316 912.783898856
2019-06-08 23:16:27.601161 27.4098209381 20.462647364 912.883565856
2019-06-08 23:26:27.720277 27.3894235992 20.5167708238 912.907682677
2019-06-08 23:36:27.842894 27.2313443804 20.4960809055 913.025877664
2019-06-08 23:46:27.904307 27.3741255981 20.5333535748 912.994389024
2019-06-08 23:56:28.027242 27.1752518216 20.5728547672 912.996083873
2019-06-09 00:06:28.149651 27.2619403364 20.5375903594 913.044620962
2019-06-09 00:16:28.271090 27.2925363029 20.5257678939 912.981028128
2019-06-09 00:26:28.329483 27.1191592981 20.5163175359 912.966283616
2019-06-09 00:36:28.451815 27.1599538572 20.5627663793 913.055307613
2019-06-09 00:46:28.574178 27.2007484349 20.5612297662 913.062014381
